     Alpha       T1-61.0 m/s-VLM1    
          -10          -21.2439  
         -9.9         -20.83161  
         -9.8         -20.39586  
         -9.7         -19.93604  
         -9.6         -19.45119  
         -9.5         -18.94082  
         -9.4         -18.40417  
         -9.3         -17.83981  
         -9.2         -17.24979  
         -9.1         -16.63439  
           -9         -15.99353  
         -8.9         -15.32683  
         -8.8         -14.63421  
         -8.7         -13.91517  
         -8.6         -13.17031  
         -8.5          -12.4019  
         -8.4         -11.61055  
         -8.3         -10.79698  
         -8.2         -9.961759  
         -8.1         -9.105437  
           -8         -8.228485  
         -7.9         -7.333443  
         -7.8         -6.422188  
         -7.7         -5.496102  
         -7.6         -4.556689  
         -7.5         -3.605473  
         -7.4         -2.643885  
         -7.3         -1.673881  
         -7.2        -0.6980381  
         -7.1         0.2817967  
           -7          1.263758  
         -6.9          2.245963  
         -6.8          3.226494  
         -6.7          4.202549  
         -6.6          5.172057  
         -6.5          6.133641  
         -6.4          7.085527  
         -6.3          8.025999  
         -6.2          8.953406  
         -6.1          9.866175  
           -6          10.75994  
         -5.9          11.63494  
         -5.8          12.49054  
         -5.7          13.32561  
         -5.6          14.13912  
         -5.5          14.93013  
         -5.4          15.69718  
         -5.3          16.43663  
         -5.2           17.1506  
         -5.1          17.83909  
           -5          18.50174  
         -4.9          19.13841  
         -4.8          19.74888  
         -4.7          20.33111  
         -4.6          20.88457  
         -4.5          21.41123  
         -4.4          21.91184  
         -4.3          22.38677  
         -4.2           22.8364  
         -4.1          23.26074  
           -4           23.6579  
         -3.9          24.02971  
         -3.8          24.37742  
         -3.7          24.70239  
         -3.6          25.00519  
         -3.5          25.28658  
         -3.4          25.54574  
         -3.3          25.78268  
         -3.2          25.99925  
         -3.1          26.19647  
           -3          26.37574  
         -2.9          26.53782  
         -2.8          26.68305  
         -2.7          26.81065  
         -2.6          26.92219  
         -2.5          27.01861  
         -2.4          27.10083  
         -2.3          27.16983  
         -2.2          27.22647  
         -2.1           27.2704  
           -2          27.30185  
         -1.9          27.32213  
         -1.8          27.33185  
         -1.7          27.33189  
         -1.6          27.32273  
         -1.5          27.35019  
         -1.4          27.37435  
         -1.3           27.4124  
         -1.2           27.4667  
         -1.1          27.53873  
           -1          27.47761  
         -0.9           27.4106  
         -0.8          27.33767  
         -0.7          27.25904  
         -0.6          27.17541  
         -0.5          27.08715  
         -0.4          26.99475  
         -0.3          26.89861  
         -0.2          26.79883  
            0          26.58763  
          0.1          26.47731  
          0.2          26.36456  
          0.3          26.24899  
          0.4          26.13144  
          0.5          26.01103  
          0.6          25.88839  
          0.7          25.76417  
          0.8          25.63871  
          0.9          25.51216  
            1           25.3847  
          1.1          25.25621  
          1.2          25.12657  
          1.3          24.99609  
          1.4          24.86533  
          1.5          24.73423  
          1.6          24.60297  
          1.7          24.47145  
          1.8          24.33959  
          1.9          24.20741  
            2          24.07532  
          2.1          23.94333  
          2.2          23.81157  
          2.3          23.68019  
          2.4          23.54901  
          2.5          23.41788  
          2.6          23.28707  
          2.7          23.15663  
          2.8          23.02681  
          2.9          22.89759  
            3          22.76922  
          3.1          22.64116  
          3.2           22.5136  
          3.3          22.38674  
          3.4           22.2601  
          3.5          22.13449  
          3.6          22.00949  
          3.7          21.88532  
          3.8           21.7613  
          3.9          21.63813  
            4          21.51583  
          4.1          21.39397  
          4.2          21.27283  
          4.3          21.15258  
          4.4          21.03323  
          4.5          20.91455  
          4.6          20.79665  
          4.7          20.67954  
          4.8          20.56316  
          4.9          20.44772  
            5          20.33271  
          5.1           20.2185  
          5.2          20.10513  
          5.3          19.99255  
          5.4          19.88088  
          5.5          19.77034  
          5.6          19.66047  
          5.7          19.55104  
          5.8          19.44252  
          5.9          19.33493  
            6          19.22849  
          6.1          19.12287  
          6.2          19.01838  
          6.3          18.91454  
          6.4          18.81158  
          6.5          18.70923  
          6.6          18.60775  
          6.7          18.50728  
          6.8          18.40789  
          6.9          18.30915  
            7          18.21094  
          7.1          18.11362  
          7.2          18.01747  
          7.3          17.92224  
          7.4          17.82773  
          7.5          17.73391  
          7.6          17.64071  
          7.7          17.54834  
          7.8          17.45676  
          7.9          17.36575  
            8          17.27554  
          8.1          17.18614  
          8.2          17.09762  
          8.3          17.00962  
          8.4          16.92187  
          8.5          16.83486  
          8.6          16.74895  
          8.7          16.66377  
          8.8          16.57923  
          8.9          16.49473  
            9          16.41072  
          9.1          16.32732  
          9.2          16.24486  
          9.3          16.16254  
          9.4          16.08032  
          9.5          15.99856  
          9.6          15.91728  
          9.7          15.83687  
          9.8           15.7565  
           10          15.59746  
         10.2          15.44074  
         10.4          15.28469  
         10.6          15.13095  
         10.8          14.97802  
           11           14.8271  
         11.2          14.67738  
         11.4          14.52713  
         11.6          14.37937  
         11.8          14.23041  
           12          14.08173  
         12.2          13.93221  
         12.4          13.78079  
         12.6          13.62784  
         12.8          13.47089  
           13          13.30819  
         13.2           13.1386  
         13.4          12.95729  
         13.6          12.75013  

