     Alpha       T1-61.0 m/s-VLM1    
          -10        -0.2426805  
         -9.9        -0.2342526  
         -9.8        -0.2258225  
         -9.7        -0.2173901  
         -9.6        -0.2089557  
         -9.5        -0.2005192  
         -9.4        -0.1920807  
         -9.3        -0.1836403  
         -9.2         -0.175198  
         -9.1        -0.1667538  
           -9        -0.1583078  
         -8.9        -0.1498601  
         -8.8        -0.1414107  
         -8.7        -0.1329597  
         -8.6        -0.1245072  
         -8.5        -0.1160531  
         -8.4        -0.1075975  
         -8.3       -0.09914051  
         -8.2       -0.09068218  
         -8.1       -0.08222255  
           -8       -0.07376168  
         -7.9       -0.06529961  
         -7.8        -0.0568364  
         -7.7       -0.04837211  
         -7.6       -0.03990679  
         -7.5        -0.0314405  
         -7.4       -0.02297329  
         -7.3       -0.01450521  
         -7.2      -0.006036326  
         -7.1       0.002433317  
           -7        0.01090366  
         -6.9        0.01937465  
         -6.8        0.02784623  
         -6.7        0.03631835  
         -6.6        0.04479096  
         -6.5        0.05326398  
         -6.4        0.06173739  
         -6.3        0.07021111  
         -6.2        0.07868509  
         -6.1        0.08715928  
           -6        0.09563363  
         -5.9         0.1041081  
         -5.8         0.1125826  
         -5.7          0.121057  
         -5.6         0.1295314  
         -5.5         0.1380057  
         -5.4         0.1464798  
         -5.3         0.1549537  
         -5.2         0.1634273  
         -5.1         0.1719006  
           -5         0.1803735  
         -4.9         0.1888459  
         -4.8         0.1973178  
         -4.7         0.2057891  
         -4.6         0.2142599  
         -4.5         0.2227299  
         -4.4         0.2311993  
         -4.3         0.2396678  
         -4.2         0.2481355  
         -4.1         0.2566024  
           -4         0.2650683  
         -3.9         0.2735332  
         -3.8          0.281997  
         -3.7         0.2904597  
         -3.6         0.2989213  
         -3.5         0.3073816  
         -3.4         0.3158407  
         -3.3         0.3242984  
         -3.2         0.3327548  
         -3.1         0.3412097  
           -3         0.3496632  
         -2.9          0.358115  
         -2.8         0.3665653  
         -2.7          0.375014  
         -2.6         0.3834609  
         -2.5          0.391906  
         -2.4         0.4003493  
         -2.3         0.4087908  
         -2.2         0.4172303  
         -2.1         0.4256678  
           -2         0.4341033  
         -1.9         0.4425368  
         -1.8          0.450968  
         -1.7         0.4593971  
         -1.6         0.4678239  
         -1.5         0.4762483  
         -1.4         0.4846705  
         -1.3         0.4930902  
         -1.2         0.5015074  
         -1.1         0.5099221  
           -1         0.5183342  
         -0.9         0.5267437  
         -0.8         0.5351504  
         -0.7         0.5435545  
         -0.6         0.5519557  
         -0.5         0.5603541  
         -0.4         0.5687496  
         -0.3         0.5771421  
         -0.2         0.5855316  
            0         0.6023013  
          0.1         0.6106815  
          0.2         0.6190584  
          0.3          0.627432  
          0.4         0.6358022  
          0.5         0.6441691  
          0.6         0.6525326  
          0.7         0.6608925  
          0.8         0.6692489  
          0.9         0.6776017  
            1         0.6859508  
          1.1         0.6942962  
          1.2         0.7026379  
          1.3         0.7109757  
          1.4         0.7193096  
          1.5         0.7276397  
          1.6         0.7359657  
          1.7         0.7442877  
          1.8         0.7526057  
          1.9         0.7609195  
            2         0.7692291  
          2.1         0.7775344  
          2.2         0.7858355  
          2.3         0.7941322  
          2.4         0.8024246  
          2.5         0.8107124  
          2.6         0.8189958  
          2.7         0.8272746  
          2.8         0.8355488  
          2.9         0.8438183  
            3         0.8520832  
          3.1         0.8603432  
          3.2         0.8685985  
          3.3         0.8768489  
          3.4         0.8850943  
          3.5         0.8933348  
          3.6         0.9015703  
          3.7         0.9098006  
          3.8         0.9180259  
          3.9          0.926246  
            4         0.9344608  
          4.1         0.9426704  
          4.2         0.9508746  
          4.3         0.9590735  
          4.4         0.9672669  
          4.5         0.9754548  
          4.6         0.9836372  
          4.7          0.991814  
          4.8         0.9999852  
          4.9          1.008151  
            5           1.01631  
          5.1          1.024464  
          5.2          1.032612  
          5.3          1.040755  
          5.4          1.048891  
          5.5          1.057021  
          5.6          1.065146  
          5.7          1.073264  
          5.8          1.081376  
          5.9          1.089482  
            6          1.097581  
          6.1          1.105675  
          6.2          1.113762  
          6.3          1.121842  
          6.4          1.129916  
          6.5          1.137984  
          6.6          1.146045  
          6.7            1.1541  
          6.8          1.162148  
          6.9          1.170189  
            7          1.178223  
          7.1          1.186251  
          7.2          1.194272  
          7.3          1.202286  
          7.4          1.210293  
          7.5          1.218294  
          7.6          1.226287  
          7.7          1.234273  
          7.8          1.242252  
          7.9          1.250224  
            8          1.258188  
          8.1          1.266146  
          8.2          1.274096  
          8.3          1.282038  
          8.4          1.289974  
          8.5          1.297902  
          8.6          1.305822  
          8.7          1.313735  
          8.8           1.32164  
          8.9          1.329538  
            9          1.337428  
          9.1           1.34531  
          9.2          1.353185  
          9.3          1.361051  
          9.4           1.36891  
          9.5          1.376761  
          9.6          1.384604  
          9.7          1.392439  
          9.8          1.400266  
           10          1.415896  
         10.2          1.431492  
         10.4          1.447056  
         10.6          1.462587  
         10.8          1.478084  
           11          1.493546  
         11.2          1.508974  
         11.4          1.524368  
         11.6          1.539726  
         11.8          1.555049  
           12          1.570336  
         12.2          1.585586  
         12.4          1.600801  
         12.6          1.615978  
         12.8          1.631118  
           13          1.646221  
         13.2          1.661286  
         13.4          1.676313  
         13.6          1.691301  

