     CD       T1-156.8 m/s-VLM1    
   0.02898208        -0.6636699  
    0.0264096        -0.6192862  
   0.02408787        -0.5747772  
   0.02192917        -0.5301502  
   0.01992729        -0.4854123  
   0.01809474        -0.4405709  
   0.01642686        -0.3956333  
   0.01492115        -0.3506068  
   0.01358762         -0.305499  
   0.01241611        -0.2603172  
   0.01141047         -0.215069  
   0.01057708         -0.169762  
  0.009909579        -0.1244037  
  0.009406852       -0.07900178  
  0.009068305       -0.03356385  
  0.008893972        0.01190241  
   0.00888935        0.05738932  
   0.00904736         0.1028892  
  0.009369558         0.1483942  
  0.009857119         0.1938968  
   0.01051239         0.2393891  
    0.0113338         0.2848635  
   0.01231849         0.3303121  
   0.01347106         0.3757273  
   0.01478974         0.4211014  
   0.01628019         0.4664266  
   0.01793004         0.5116953  
    0.0197365         0.5568997  
   0.02168687         0.6020322  
   0.02380157         0.6470852  
   0.02605457         0.6920511  
   0.02845057         0.7369224  
   0.03101633         0.7816914  
    0.0337471         0.8263508  
   0.03663458          0.870893  
   0.03968466         0.9153107  
   0.04292507         0.9595965  
   0.04635484          1.003743  
   0.04999352          1.047743  
   0.05381337           1.09159  
   0.05780259          1.135276  
   0.06195799          1.178794  
   0.06627866          1.222137  
   0.07075718          1.265298  
   0.07540086          1.308271  
   0.08019691          1.351049  
    0.0851568          1.393625  
   0.09028851          1.435992  
   0.09556764          1.478144  
    0.1011158          1.520074  
     0.106932          1.561777  

