     α       T1-156.8 m/s-VLM1     
          -10        -0.2603172  
         -9.5         -0.215069  
           -9         -0.169762  
         -8.5        -0.1244037  
           -8       -0.07900178  
         -7.5       -0.03356385  
           -7        0.01190241  
         -6.5        0.05738932  
           -6         0.1028892  
         -5.5         0.1483942  
           -5         0.1938968  
         -4.5         0.2393891  
           -4         0.2848635  
         -3.5         0.3303121  
           -3         0.3757273  
         -2.5         0.4211014  
           -2         0.4664266  
         -1.5         0.5116953  
           -1         0.5568997  
         -0.5         0.6020322  
            0         0.6470852  
          0.5         0.6920511  
            1         0.7369224  
          1.5         0.7816914  
            2         0.8263508  
          2.5          0.870893  
            3         0.9153107  
          3.5         0.9595965  
            4          1.003743  
          4.5          1.047743  
            5           1.09159  
          5.5          1.135276  
            6          1.178794  
          6.5          1.222137  
            7          1.265298  
          7.5          1.308271  
            8          1.351049  
          8.5          1.393625  
            9          1.435992  
          9.5          1.478144  
           10          1.520074  
         10.5          1.561777  

